item_id,department,level,difficulty,workload
ECON400_00000,ECON,400,2.929702326541359,4.964513269887341
ECON500_00001,ECON,500,4.425452639851483,4.122965119666407
ECON300_00002,ECON,300,3.292026460106591,3.914226316613714
MATH500_00003,MATH,500,1.9646317340578707,1.7487149038804106
PSYCH400_00004,PSYCH,400,3.9284867788111657,2.6446084420993685
PHYS200_00005,PHYS,200,2.4568368518882253,3.71831203021962
ENGL500_00006,ENGL,500,1.3425044417559233,4.798263949538914
STAT500_00007,STAT,500,2.2121614803452427,3.587562220457051
ENGR400_00008,ENGR,400,1.9442866508920593,3.270786729834321
PHYS500_00009,PHYS,500,2.541551350678107,3.39539862214409
STAT400_00010,STAT,400,2.489031186366551,4.678689634541262
CS100_00011,CS,100,2.920073349707299,3.7619596133647724
PSYCH400_00012,PSYCH,400,2.8077952305057283,4.31452552399413
MATH200_00013,MATH,200,3.62621850884747,2.5643573320359714
PHYS100_00014,PHYS,100,2.25056953731825,1.1009822857847218
PHYS200_00015,PHYS,200,2.6802820194666146,2.5608575781899137
PHYS100_00016,PHYS,100,3.892328731236648,2.44876881778207
ENGL400_00017,ENGL,400,2.420781443189436,1.43392334671747
STAT100_00018,STAT,100,2.227855348415658,3.360211298456467
ECON500_00019,ECON,500,1.3641251120338573,4.6907960713044785
PSYCH300_00020,PSYCH,300,3.635533007375546,4.6118863393226395
ENGR500_00021,ENGR,500,1.1255076403009703,4.420112687248514
CS500_00022,CS,500,4.032390337902788,4.9205627407790775
ECON200_00023,ECON,200,3.462110783184268,1.667585540054223
PHYS100_00024,PHYS,100,3.95796589067855,3.0915836047446636
BIO100_00025,BIO,100,3.092883157284325,1.2115180538921875
ENGL400_00026,ENGL,400,1.8884564557697283,3.845946591434804
BIO200_00027,BIO,200,2.8782154416920043,2.9211044015219674
BIO500_00028,BIO,500,3.69183970907352,4.156353196300442
CHEM100_00029,CHEM,100,2.2251205141647974,4.193266379803145
BIO200_00030,BIO,200,1.5401834747545218,3.0573594777886055
ENGR300_00031,ENGR,300,4.573300857419512,3.2764756094351157
PHYS400_00032,PHYS,400,3.126274817268868,3.446801647545135
ENGR200_00033,ENGR,200,4.819166537188068,1.9572534665486843
MATH500_00034,MATH,500,4.913084201521478,4.570948359646896
PSYCH100_00035,PSYCH,100,1.9341930519400972,1.9901660107291823
ENGL300_00036,ENGL,300,4.929770127938721,4.0458826448303284
ENGR100_00037,ENGR,100,4.201553100981776,4.425441973301185
MATH100_00038,MATH,100,3.5842240526157894,2.727295368183441
STAT100_00039,STAT,100,3.2427441388686677,4.870873221316633
PHYS500_00040,PHYS,500,3.9608089307797774,2.5199876077824124
PSYCH100_00041,PSYCH,100,2.3894583329641934,4.09419935989578
PHYS100_00042,PHYS,100,1.513910766648841,4.398183616676533
CS200_00043,CS,200,4.517569174028166,3.556390560195574
PSYCH100_00044,PSYCH,100,1.6276488711907149,2.8282274059944803
ECON200_00045,ECON,200,3.553584411756786,1.4581388283539507
CHEM400_00046,CHEM,400,4.157410783808006,1.807700386281287
MATH500_00047,MATH,500,1.3555244991696571,1.3190876013709296
BIO100_00048,BIO,100,1.161206212263599,2.278339333544355
MATH500_00049,MATH,500,4.610801163974823,2.7932059733138694
STAT200_00050,STAT,200,3.8185409116915263,2.77137349469126
PHYS200_00051,PHYS,200,4.43308757561876,1.0305735965450138
ENGR100_00052,ENGR,100,4.977271772107645,4.67242578767824
ENGL500_00053,ENGL,500,3.1338524034320656,4.054364965307777
ENGL400_00054,ENGL,400,4.035861882064102,1.5239061893463015
ENGL100_00055,ENGL,100,1.26238682488311,3.0752011869972478
MATH300_00056,MATH,300,1.43292354840603,1.7106337975773855
ENGR200_00057,ENGR,200,1.4895568549981033,2.9518550366573035
STAT400_00058,STAT,400,3.4931303687613493,1.9000427880180024
PSYCH400_00059,PSYCH,400,2.0406287732213486,4.245852209809783
CS300_00060,CS,300,2.669803466346042,1.3074820017921058
ECON400_00061,ECON,400,4.192992104818595,2.6632922564234405
ECON200_00062,ECON,200,2.329733304481859,4.679870203251624
CHEM300_00063,CHEM,300,3.3076967859920514,3.148098842877212
CS500_00064,CS,500,3.9293510166287913,4.373283940742702
CHEM200_00065,CHEM,200,2.4661545275159105,4.406774470905772
ENGL100_00066,ENGL,100,2.786510931690266,1.6609993088515016
PSYCH400_00067,PSYCH,400,2.470118429424839,3.895143307838239
PHYS300_00068,PHYS,300,3.3956332119608983,4.523129946611689
ECON100_00069,ECON,100,3.0471100883039655,2.952668351013267
BIO100_00070,BIO,100,1.8305549591698336,1.331220790608461
PHYS200_00071,PHYS,200,3.449542353303514,3.6069187913135896
MATH100_00072,MATH,100,4.188061668348025,1.0654983508757137
ECON500_00073,ECON,500,2.076800311987512,2.6525522179851917
ENGR100_00074,ENGR,100,1.182315590913913,2.6404056135147105
ENGL200_00075,ENGL,200,2.1636107906695186,1.6954656125453575
MATH400_00076,MATH,400,1.1993119538832522,3.503146275943108
ENGL200_00077,ENGL,200,2.7509813073950062,3.37885617433528
BIO400_00078,BIO,400,4.083959049929243,4.349301317483809
STAT200_00079,STAT,200,2.82635187813139,1.7745347115272136
ECON500_00080,ECON,500,3.38438896396608,4.323485285237437
PSYCH200_00081,PSYCH,200,3.969675800029186,3.5086662284253536
ECON300_00082,ECON,300,2.536969727012377,3.294845822969282
ENGL100_00083,ENGL,100,2.186105300415706,3.696090504315254
ENGL400_00084,ENGL,400,2.9120669737071374,1.7395301187618424
ENGR100_00085,ENGR,100,3.271772473423171,2.495815061781009
ENGR200_00086,ENGR,200,1.6583193156622542,4.045593165264779
ENGL500_00087,ENGL,500,1.0552868676537828,2.362090768836082
ENGL400_00088,ENGL,400,3.4799947397848663,1.7821024461789188
PHYS200_00089,PHYS,200,4.308671750862825,4.730862098311949
CS100_00090,CS,100,3.980652805918197,1.5962889792762205
PHYS500_00091,PHYS,500,3.266479574532819,3.0987377763724995
MATH300_00092,MATH,300,1.0027546215561607,2.9312223504004122
